Location,Time,Day,Weather,Event,Congestion
Wuse,11:00,Wednesday,Clear,No,Low
Asokoro,16:00,Saturday,Rainy,No,Low
Wuse,17:00,Monday,Sunny,No,Medium
Garki,11:00,Tuesday,Cloudy,Yes,Low
Wuse,11:00,Saturday,Rainy,No,Low
Utako,16:00,Thursday,Rainy,No,Medium
Garki,14:00,Monday,Sunny,No,Low
Wuse,14:00,Thursday,Rainy,No,Medium
Maitama,17:00,Wednesday,Clear,No,Medium
Wuse,21:00,Sunday,Clear,No,Low
Maitama,17:00,Tuesday,Rainy,Yes,High
Asokoro,08:00,Saturday,Rainy,Yes,High
Asokoro,06:00,Tuesday,Cloudy,Yes,Low
Utako,12:00,Wednesday,Rainy,No,Medium
Utako,16:00,Tuesday,Sunny,No,Low
Garki,09:00,Monday,Sunny,No,Low
Asokoro,06:00,Monday,Rainy,Yes,Medium
Maitama,22:00,Wednesday,Clear,No,Low
Asokoro,17:00,Wednesday,Clear,No,Medium
Wuse,12:00,Thursday,Sunny,Yes,Low
Utako,08:00,Saturday,Clear,Yes,Medium
Garki,13:00,Sunday,Sunny,Yes,Low
Maitama,07:00,Wednesday,Clear,No,Medium
Maitama,20:00,Sunday,Rainy,Yes,Medium
Utako,09:00,Thursday,Rainy,Yes,Medium
Utako,06:00,Tuesday,Sunny,Yes,Low
Maitama,19:00,Wednesday,Rainy,No,Medium
Asokoro,07:00,Thursday,Clear,Yes,Medium
Asokoro,09:00,Saturday,Cloudy,Yes,Low
Garki,18:00,Thursday,Rainy,Yes,High
Maitama,06:00,Sunday,Sunny,Yes,Low
Maitama,16:00,Friday,Rainy,No,Medium
Garki,21:00,Wednesday,Cloudy,Yes,Low
Utako,13:00,Friday,Clear,Yes,Low
Garki,21:00,Monday,Cloudy,Yes,Low
Garki,22:00,Sunday,Clear,No,Low
Maitama,09:00,Wednesday,Cloudy,Yes,Low
Wuse,16:00,Sunday,Sunny,No,Low
Wuse,18:00,Friday,Cloudy,No,Medium
Utako,19:00,Sunday,Rainy,No,Low
Wuse,09:00,Tuesday,Sunny,No,Low
Asokoro,11:00,Saturday,Cloudy,Yes,Low
Garki,17:00,Friday,Sunny,No,Medium
Asokoro,22:00,Sunday,Rainy,No,Low
Garki,08:00,Saturday,Rainy,Yes,High
Maitama,21:00,Saturday,Cloudy,Yes,Low
Utako,09:00,Monday,Cloudy,Yes,Low
Maitama,07:00,Saturday,Sunny,Yes,Medium
Asokoro,16:00,Friday,Clear,Yes,Low
Maitama,11:00,Tuesday,Sunny,Yes,Low
Utako,11:00,Saturday,Clear,Yes,Low
Garki,15:00,Tuesday,Cloudy,No,Low
Wuse,07:00,Friday,Rainy,No,High
Utako,10:00,Thursday,Cloudy,No,Low
Maitama,21:00,Friday,Cloudy,Yes,Low
Garki,21:00,Saturday,Rainy,Yes,Medium
Wuse,08:00,Monday,Rainy,No,High
Maitama,18:00,Tuesday,Clear,Yes,Medium
Maitama,06:00,Thursday,Rainy,No,Medium
Asokoro,15:00,Wednesday,Sunny,No,Low
Wuse,18:00,Saturday,Clear,Yes,Medium
Asokoro,20:00,Thursday,Cloudy,No,Low
Maitama,15:00,Tuesday,Sunny,No,Low
Asokoro,10:00,Tuesday,Sunny,No,Low
Wuse,22:00,Friday,Rainy,No,Medium
Asokoro,22:00,Wednesday,Cloudy,Yes,Low
Garki,11:00,Wednesday,Rainy,No,Medium
Maitama,13:00,Tuesday,Sunny,No,Low
Utako,18:00,Sunday,Clear,No,Low
Wuse,09:00,Wednesday,Cloudy,No,Low
Utako,20:00,Friday,Clear,No,Low
Utako,09:00,Saturday,Sunny,No,Low
Garki,17:00,Wednesday,Rainy,No,High
Asokoro,15:00,Saturday,Sunny,No,Low
Maitama,06:00,Tuesday,Rainy,No,Medium
Wuse,22:00,Saturday,Sunny,Yes,Low
Maitama,20:00,Monday,Clear,No,Low
Garki,12:00,Wednesday,Cloudy,No,Low
Garki,17:00,Tuesday,Cloudy,No,Medium
Asokoro,07:00,Sunday,Cloudy,Yes,Medium
Maitama,18:00,Sunday,Cloudy,No,Low
Asokoro,10:00,Tuesday,Rainy,Yes,Medium
Garki,12:00,Monday,Clear,No,Low
Utako,07:00,Monday,Rainy,Yes,High
Asokoro,12:00,Sunday,Clear,Yes,Low
Asokoro,18:00,Monday,Clear,No,Medium
Garki,07:00,Saturday,Sunny,No,Low
Asokoro,10:00,Tuesday,Clear,No,Low
Wuse,16:00,Monday,Sunny,No,Low
Garki,12:00,Thursday,Cloudy,Yes,Low
Garki,20:00,Saturday,Clear,Yes,Low
Garki,09:00,Thursday,Cloudy,Yes,Low
Maitama,07:00,Thursday,Clear,Yes,Medium
Garki,21:00,Friday,Sunny,No,Low
Maitama,18:00,Monday,Sunny,No,Medium
Garki,08:00,Sunday,Cloudy,No,Low
Wuse,11:00,Wednesday,Clear,No,Low
